 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1  0.00010869    184009    36              20  g1f3 
  0       1    2   6.294e-05   1048617     0              66  g1f3 
  0       1    3  0.00011588   4703141    35             545  g1f3 
  0       1    4  0.00055604   3747931     0            2084  g1f3 
  0       1    5  0.00113232  12241228    33           13861  g1f3 
  0       1    6  0.00862388   9284566     0           80069  g1f3 
  0       1    7   0.0377875  14298232    28          540295  g1f3 
  0       1    8     1.37496  15125122     7        20796389  e2e4 
  0       1    9     1.59848  16677923    36        26659315  e2e4 
  0       1   10     30.4733  16576319     6       505134455  e2e4 
  0       2    1   9.214e-05    217060    36              20  g1f3 
  0       2    2  0.00028362    232705     0              66  g1f3 
  0       2    3  0.00011762   4778098    35             562  g1f3 
  0       2    4  0.00029027   6917697     0            2008  g1f3 
  0       2    5 0.000945131  16956379    33           16026  g1f3 
  0       2    6  0.00497274  15023304     0           74707  g1f3 
  0       2    7   0.0217518  24970700    28          543158  g1f3 
  0       2    8    0.759121  28124435     7        21349840  e2e4 
  0       2    9     1.36636  32335682    36        44182056  e2e4 
  0       2   10     19.3217  33020747     6       638018048  e2e4 
  0       3    1 0.000706539     28307    36              20  g1f3 
  0       3    2   9.529e-05    734599     0              70  g1f3 
  0       3    3  0.00010674   5771032    35             616  g1f3 
  0       3    4  0.00026004   7910321     0            2057  g1f3 
  0       3    5  0.00063036  26321467    33           16592  g1f3 
  0       3    6  0.00397715  25483065     0          101350  g1f3 
  0       3    7   0.0140886  37712373    28          531315  g1f3 
  0       3    8    0.471897  41613494     7        19637301  e2e4 
  0       3    9     1.71814  46417787    36        79752081  e2e4 
  0       3   10     10.7272  48947314     6       525068000  e2e4 
  0       4    1   0.0005423     36879    36              20  g1f3 
  0       4    2    8.76e-05    764840     0              67  g1f3 
  0       4    3   9.536e-05   6250000    35             596  g1f3 
  0       4    4  0.00018384   9954308     0            1830  g1f3 
  0       4    5  0.00040585  34116052    33           13846  g1f3 
  0       4    6  0.00264549  29448608     0           77906  g1f3 
  0       4    7   0.0107176  50350443    28          539634  g1f3 
  0       4    8    0.409037  55373512     7        22649816  e2e4 
  0       4    9     1.26683  63594150    36        80562850  e2e4 
  0       4   10     8.18661  64138172     6       525074405  e2e4 
  0       5    1  0.00045628     43832    36              20  g1f3 
  0       5    2  0.00012476    601154     0              75  g1f3 
  0       5    3  0.00010371   5862501    35             608  g1f3 
  0       5    4  0.00019118  14080970     0            2692  g1f3 
  0       5    5  0.00036189  40313354    33           14589  g1f3 
  0       5    6  0.00351422  45635149     0          160372  g1f3 
  0       5    7  0.00863732  63159051    28          545525  g1f3 
  0       5    8    0.369573  69210484     7        25578323  e2e4 
  0       5    9    0.497857  78310497    36        38987426  e2e4 
  0       5   10     9.20082  78413518     6       721468661  e2e4 
  0       6    1  0.00057177     41974    36              24  g1f3 
  0       6    2  0.00012521    527114     0              66  g1f3 
  0       6    3  0.00011014   5974214    35             658  g1f3 
  0       6    4  0.00017815  10653943     0            1898  g1f3 
  0       6    5  0.00032542  41543236    33           13519  g1f3 
  0       6    6  0.00188914  40954063     0           77368  g1f3 
  0       6    7  0.00818694  70539297    28          577501  g1f3 
  0       6    8    0.309323  83099973     7        25704702  e2e4 
