 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1  0.00015973    125211    36              20  g1f3 
  0       1    2   9.936e-05    664251     0              66  g1f3 
  0       1    3 0.000177761   3065914    35             545  g1f3 
  0       1    4  0.00082195   2535434     0            2084  g1f3 
  0       1    5  0.00125222  11069141    33           13861  g1f3 
  0       1    6   0.0087275   9174330     0           80069  g1f3 
  0       1    7   0.0376235  14360585    28          540295  g1f3 
  0       1    8     1.33317  15599194     7        20796389  e2e4 
  0       1    9     1.54853  17215910    36        26659315  e2e4 
  0       1   10     28.8032  17537442     6       505134455  e2e4 
  0       2    1  0.00018175    110041    36              20  g1f3 
  0       2    2  0.00012076    563100     0              68  g1f3 
  0       2    3   9.853e-05   5328326    35             525  g1f3 
  0       2    4  0.00034871   5996386     0            2091  g1f3 
  0       2    5  0.00097241  17467940    33           16986  g1f3 
  0       2    6   0.0055644  16399249     0           91252  g1f3 
  0       2    7   0.0232997  24834863    28          578645  g1f3 
  0       2    8    0.811503  28837505     7        23401721  e2e4 
  0       2    9    0.979315  31014188    36        30372649  e2e4 
  0       2   10     17.1222  32889958     6       563148034  e2e4 
  0       3    1  0.00037555     53255    36              20  g1f3 
  0       3    2   8.918e-05    751289     0              67  g1f3 
  0       3    3   9.539e-05   5608554    35             535  g1f3 
  0       3    4  0.00020334   8527589     0            1734  g1f3 
  0       3    5  0.00051897  25932134    33           13458  g1f3 
  0       3    6  0.00356475  21342871     0           76082  g1f3 
  0       3    7   0.0138668  38552377    28          534599  g1f3 
  0       3    8    0.567364  42190450     7        23937330  e2e4 
  0       3    9    0.788061  45807682    36        36099242  e2e4 
  0       3   10     10.9484  48117215     6       526804404  e2e4 
  0       4    1  0.00020269     98672    36              20  g1f3 
  0       4    2  0.00015468    833979     0             129  g1f3 
  0       4    3   9.458e-05   6301543    35             596  g1f3 
  0       4    4  0.00020155  10047134     0            2025  g1f3 
  0       4    5  0.00048695  31707567    33           15440  g1f3 
  0       4    6  0.00360592  35121124     0          126644  g1f3 
  0       4    7   0.0130419  48840495    28          636971  g1f3 
  0       4    8    0.401059  55854198     7        22400828  e2e4 
  0       4    9    0.955863  60808960    36        58125037  e2e4 
  0       4   10     7.80758  64424851     6       503002089  e2e4 
  0       5    1  0.00043735     48016    36              21  g1f3 
  0       5    2   9.816e-05    672371     0              66  g1f3 
  0       5    3  0.00010152   5634357    35             572  g1f3 
  0       5    4  0.00018966  13540018     0            2568  g1f3 
  0       5    5  0.00039522  38477303    33           15207  g1f3 
  0       5    6  0.00299658  41914796     0          125601  g1f3 
  0       5    7   0.0137979  59881882    28          826245  g1f3 
