 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1   0.0001484    134770 27599              20  a2a3 
  0       1    2 0.000514339    291636 -17044             150  e2e3 
  0       1    3  0.00021444   7400671 26889            1587  d2d3 
  0       1    4  0.00159927  11796654 -18132           18866  e2e4 
  0       1    5   0.0105728  13666622 21771          144494  e2e3 
  0       1    6   0.0270444  13091674 -9341          354056  e2e3 
  0       1    7    0.100621  15909074 19203         1600793  e2e3 
  0       1    8     1.43365  14783045 -8669        21193765  e2e3 
  0       1    9     5.65981  16662705 12807        94307824  e2e3 
  0       2    1   0.0001185    168776 27599              20  a2a3 
  0       2    2  0.00030146    497578 -17044             150  e2e3 
  0       2    3 0.000176969  13799026 26889            2442  d2d3 
  0       2    4  0.00116123  17752758 -18132           20615  e2e4 
  0       2    5  0.00751103  24476932 21771          183847  e2e3 
  0       2    6   0.0170557  23244725 -9341          396455  e2e3 
  0       2    7   0.0702942  31250951 19203         2196760  e2e3 
  0       2    8    0.948026  28225945 -8669        26758940  e2e3 
  0       2    9     3.68746  31377163 12807       115702026  e2e3 
  0       3    1  0.00020762     96329 27599              20  a2a3 
  0       3    2 0.000177469    845218 -17044             150  e2e3 
  0       3    3  0.00023038  12110426 26889            2790  d2d3 
  0       3    4 0.000765139  25995276 -18132           19890  e2e4 
  0       3    5  0.00509245  35889580 21771          182766  e2e3 
  0       3    6   0.0132335  35189828 -9341          465684  e2e3 
  0       3    7   0.0426809  45420614 19203         1938592  e2e3 
  0       3    8     0.69181  41887724 -8669        28978333  e2e3 
  0       3    9     2.31186  46890648 12807       108404638  e2e3 
  0       4    1  0.00021491     97715 27599              21  a2a3 
  0       4    2 0.000156939   1860595 -17044             292  e2e3 
  0       4    3   0.0001649  18071558 26889            2980  d2d3 
  0       4    4 0.000854199  32158782 -18132           27470  e2e4 
  0       4    5  0.00421625  49165918 21771          207296  e2e3 
  0       4    6   0.0133726  48110719 -9341          643367  e2e3 
  0       4    7    0.047035  59269133 19203         2787723  e2e3 
  0       4    8    0.570501  55146270 -8669        31461004  e2e3 
  0       4    9     2.19653  61494200 12807       135074131  e2e3 
  0       5    1 0.000461809     86615 27599              40  a2a3 
  0       5    2  0.00012333   1808156 -17044             223  e2e3 
  0       5    3  0.00016227  21753867 26889            3530  d2d3 
  0       5    4 0.000772779  37083047 -18132           28657  e2e4 
  0       5    5  0.00344159  61086098 21771          210233  e2e3 
  0       5    6   0.0111165  58813591 -9341          653801  e2e3 
  0       5    7   0.0345585  72509518 19203         2505817  e2e3 
  0       5    8    0.572648  69368235 -8669        39723575  e2e3 
  0       5    9     2.43769  77466301 12807       188838961  e2e3 
  0       6    1   0.0001589    163624 27599              26  a2a3 
  0       6    2  0.00011956   2994312 -17044             358  e2e3 
  0       6    3 0.000181949  21632435 26889            3936  d2d3 
  0       6    4 0.000639579  44801345 -18132           28654  e2e4 
  0       6    5  0.00317883  69723246 21771          221638  e2e3 
  0       6    6   0.0102731  71397290 -9341          733472  e2e3 
  0       6    7   0.0247931  87263439 19203         2163531  e2e3 
  0       6    8    0.439482  81915853 -8669        36000502  e2e3 
  0       6    9     1.48247  93204453 12807       138172802  e2e3 
  0       7    1 0.000461549     43332 27599              20  a2a3 
  0       7    2 0.000145799   1069966 -17044             156  e2e3 
  0       7    3  0.00018102  24732073 26889            4477  d2d3 
  0       7    4 0.000613729  50432682 -18132           30952  e2e4 
  0       7    5  0.00270568  82656607 21771          223642  e2e3 
  0       7    6  0.00769614  82959249 -9341          638466  e2e3 
  0       7    7   0.0254625 101948673 19203         2595873  e2e3 
  0       7    8    0.368039  94581749 -8669        34809754  e2e3 
  0       7    9     1.13634 108099981 12807       122838617  e2e3 
  0       8    1  0.00021666     96926 27599              21  a2a3 
  0       8    2  0.00017683   1475993 -17044             261  e2e3 
  0       8    3   0.0001727  23711638 26889            4095  d2d3 
  0       8    4 0.000561569  55068922 -18132           30925  e2e4 
  0       8    5   0.0027555  90899787 21771          250474  e2e3 
  0       8    6  0.00732203  93798974 -9341          686799  e2e3 
  0       8    7   0.0216413 115842784 19203         2506991  e2e3 
  0       8    8    0.311436 106667734 -8669        33220153  e2e3 
  0       8    9     1.20094 120915905 12807       145213126  e2e3 
  0       9    1 0.000488879     40909 27599              20  a2a3 
  0       9    2 0.000199179   1034245 -17044             206  e2e3 
  0       9    3  0.00018329  22532598 26889            4130  d2d3 
  0       9    4  0.00054113  58819507 -18132           31829  e2e4 
  0       9    5   0.0024605 105601429 21771          259832  e2e3 
  0       9    6  0.00740083 104707729 -9341          774924  e2e3 
  0       9    7   0.0165274 132536725 19203         2190490  e2e3 
  0       9    8    0.408468 121691507 -8669        49707037  e2e3 
  0       9    9     1.08851 135612806 12807       147615219  e2e3 
  0      10    1  0.00054968     38204 27599              21  a2a3 
  0      10    2  0.00019243    930208 -17044             179  e2e3 
  0      10    3  0.00018612  21604341 26889            4021  d2d3 
  0      10    4 0.000537679  60311077 -18132           32428  e2e4 
  0      10    5  0.00238323 113684979 21771          270937  e2e3 
  0      10    6  0.00702369 117791326 -9341          827330  e2e3 
  0      10    7   0.0208936 142909243 19203         2985889  e2e3 
  0      10    8    0.310709 135803297 -8669        42195274  e2e3 
  0      10    9    0.993843 150691970 12807       149764089  e2e3 
  0      11    1  0.00026866     74443 27599              20  a2a3 
  0      11    2  0.00017588   1410052 -17044             248  e2e3 
  0      11    3  0.00020293  18114620 26889            3676  d2d3 
  0      11    4 0.000557469  66518496 -18132           37082  e2e4 
  0      11    5  0.00239507 116052703 21771          277954  e2e3 
  0      11    6  0.00657744 123758902 -9341          814017  e2e3 
  0      11    7   0.0185004 153667754 19203         2842922  e2e3 
  0      11    8    0.340135 148187163 -8669        50403592  e2e3 
  0      11    9    0.933677 165579598 12807       154597888  e2e3 
  0      12    1 0.000488949     40904 27599              20  a2a3 
  0      12    2  0.00020108   1636164 -17044             329  e2e3 
  0      12    3  0.00020277  20101592 26889            4076  d2d3 
  0      12    4 0.000547799  65423631 -18132           35839  e2e4 
  0      12    5  0.00222492 126505842 21771          281465  e2e3 
  0      12    6   0.0048322 132948857 -9341          642436  e2e3 
  0      12    7   0.0180724 170187018 19203         3075694  e2e3 
  0      12    8    0.288011 157425206 -8669        45340191  e2e3 
  0      12    9    0.893439 179887069 12807       160718136  e2e3 
  0      13    1 0.000687379     29096 27599              20  a2a3 
  0      13    2 0.000271679    666227 -17044             181  e2e3 
  0      13    3  0.00025599  17305363 26889            4430  d2d3 
  0      13    4 0.000481159  67198161 -18132           32333  e2e4 
  0      13    5  0.00224196 135240327 21771          303203  e2e3 
  0      13    6  0.00623228 140602751 -9341          876276  e2e3 
  0      13    7   0.0170135 175991204 19203         2994226  e2e3 
  0      13    8    0.307557 163944468 -8669        50422299  e2e3 
  0      13    9    0.751427 189149010 12807       142131661  e2e3 
  0      14    1 0.000351479     56902 27599              20  a2a3 
  0      14    2  0.00028816    645474 -17044             186  e2e3 
  0      14    3 0.000249869  15460101 26889            3863  d2d3 
  0      14    4  0.00054136  71191074 -18132           38540  e2e4 
  0      14    5  0.00221253 139146776 21771          307866  e2e3 
  0      14    6   0.0059273 143873384 -9341          852781  e2e3 
  0      14    7   0.0164453 181451273 19203         2984015  e2e3 
  0      14    8    0.287483 172472285 -8669        49582781  e2e3 
  0      14    9    0.717131 194990450 12807       139833757  e2e3 
  0      15    1 0.000374359     53424 27599              20  a2a3 
  0      15    2  0.00025109    947867 -17044             238  e2e3 
  0      15    3  0.00027568  16566308 26889            4567  d2d3 
  0      15    4 0.000599239  72767293 -18132           43605  e2e4 
  0      15    5  0.00194482 139860974 21771          272004  e2e3 
  0      15    6  0.00633849 150130346 -9341          951600  e2e3 
  0      15    7    0.017394 182947772 19203         3182193  e2e3 
  0      15    8    0.278819 177163825 -8669        49396588  e2e3 
  0      15    9    0.839008 197071382 12807       165344522  e2e3 
  0      16    1  0.00035381    113055 27599              40  a2a3 
  0      16    2  0.00027419    729421 -17044             200  e2e3 
  0      16    3 0.000302199  11704208 26889            3537  d2d3 
  0      16    4 0.000563669  76649593 -18132           43205  e2e4 
  0      16    5  0.00201481 138795855 21771          279647  e2e3 
  0      16    6  0.00639211 156396195 -9341          999702  e2e3 
  0      16    7   0.0169872 192706875 19203         3273546  e2e3 
  0      16    8    0.334334 183090258 -8669        61213357  e2e3 
  0      16    9    0.715809 205547785 12807       147133006  e2e3 
  0      17    1 0.000559939     35718 27599              20  a2a3 
  0      17    2  0.00030909    844414 -17044             261  e2e3 
  0      17    3 0.000334389  11734835 26889            3924  d2d3 
  0      17    4 0.000581139  71576679 -18132           41596  e2e4 
  0      17    5  0.00202053 145167077 21771          293314  e2e3 
  0      17    6  0.00534931 158022190 -9341          845310  e2e3 
  0      17    7   0.0159117 197701814 19203         3145768  e2e3 
  0      17    8    0.266742 187611415 -8669        50043887  e2e3 
  0      17    9     0.82276 207846137 12807       171007435  e2e3 
  0      18    1 0.000527529     37912 27599              20  a2a3 
  0      18    2 0.000268869    874031 -17044             235  e2e3 
  0      18    3  0.00030139  13673313 26889            4121  d2d3 
  0      18    4 0.000593369  67012263 -18132           39763  e2e4 
  0      18    5  0.00226292 138177847 21771          312685  e2e3 
  0      18    6  0.00587929 160845870 -9341          945660  e2e3 
  0      18    7   0.0160226 200874827 19203         3218533  e2e3 
  0      18    8    0.290679 192963501 -8669        56090437  e2e3 
  0      18    9    0.704024 215444243 12807       151677926  e2e3 
  0      19    1 0.000461289     43356 27599              20  a2a3 
  0      19    2  0.00035374    672810 -17044             238  e2e3 
  0      19    3  0.00035138  12035403 26889            4229  d2d3 
  0      19    4 0.000596569  75206723 -18132           44866  e2e4 
  0      19    5  0.00197227 153866084 21771          303465  e2e3 
  0      19    6  0.00591669 164351972 -9341          972420  e2e3 
  0      19    7   0.0164433 207102801 19203         3405445  e2e3 
  0      19    8    0.313346 197318552 -8669        61828955  e2e3 
  0      19    9     0.97205 219461566 12807       213327572  e2e3 
  0      20    1 0.000653469     30605 27599              20  a2a3 
  0      20    2 0.000365649    587995 -17044             215  e2e3 
  0      20    3  0.00033718  13126519 26889            4426  d2d3 
  0      20    4  0.00060986  74097333 -18132           45189  e2e4 
  0      20    5  0.00219425 157114946 21771          344749  e2e3 
  0      20    6  0.00571213 169775458 -9341          969780  e2e3 
  0      20    7   0.0129622 211525834 19203         2741837  e2e3 
  0      20    8    0.315289 204004223 -8669        64320209  e2e3 
  0      20    9     1.14162 230240388 12807       262847476  e2e3 
  0      21    1 0.000504759     39622 27599              20  a2a3 
  0      21    2 0.000407709    613182 -17044             250  e2e3 
  0      21    3  0.00037791  12571776 26889            4751  d2d3 
  0      21    4 0.000613109  73554620 -18132           45097  e2e4 
  0      21    5  0.00229595 158333794 21771          363526  e2e3 
  0      21    6  0.00580203 170161419 -9341          987282  e2e3 
  0      21    7   0.0165592 214636856 19203         3554223  e2e3 
  0      21    8    0.261139 206195407 -8669        53845649  e2e3 
  0      21    9    0.693696 233076443 12807       161684176  e2e3 
  0      22    1 0.000484619     41269 27599              20  a2a3 
  0      22    2 0.000374389    475441 -17044             178  e2e3 
  0      22    3 0.000362169  11853582 26889            4293  d2d3 
  0      22    4 0.000603049  67506952 -18132           40710  e2e4 
  0      22    5  0.00224648 165146509 21771          370998  e2e3 
  0      22    6  0.00500444 172705134 -9341          864293  e2e3 
  0      22    7   0.0147902 223939199 19203         3312106  e2e3 
  0      22    8    0.263735 209389507 -8669        55223426  e2e3 
  0      22    9    0.874675 237937562 12807       208117947  e2e3 
  0      23    1  0.00049344     40531 27599              20  a2a3 
  0      23    2 0.000401519    754634 -17044             303  e2e3 
  0      23    3   0.0003799  10952882 26889            4161  d2d3 
  0      23    4   0.0006415  75549493 -18132           48465  e2e4 
  0      23    5  0.00231011 164605362 21771          380256  e2e3 
  0      23    6   0.0072623 173438143 -9341         1259560  e2e3 
  0      23    7   0.0145698 223098691 19203         3250508  e2e3 
  0      23    8    0.309504 211619647 -8669        65497175  e2e3 
  0      23    9    0.733009 237192588 12807       173864229  e2e3 
  0      24    1  0.00058377     34260 27599              20  a2a3 
  0      24    2  0.00039891    774610 -17044             309  e2e3 
  0      24    3 0.000442829   9823204 26889            4350  d2d3 
  0      24    4 0.000604859  70948766 -18132           42914  e2e4 
  0      24    5  0.00211424 163602755 21771          345895  e2e3 
  0      24    6  0.00528902 187885550 -9341          993731  e2e3 
  0      24    7   0.0173904 213991163 19203         3721396  e2e3 
  0      24    8    0.297517 221081649 -8669        65775498  e2e3 
  0      24    9    0.733907 235153220 12807       172580654  e2e3 
  1       1    1   9.966e-05    200682 24829              20  e2e3 
  1       1    2   7.399e-05   2662521 -21395             197  b1c3 
  1       1    3  0.00025769   5599751 26987            1443  f2f4 
  1       1    4  0.00133311  10067451 -19160           13421  e2e3 
  1       1    5  0.00534457  13703805 20599           73241  e2e3 
  1       1    6   0.0253905  11959569 -10607          303660  e2e3 
  1       1    7    0.233611  14951962 13546         3492942  e2e3 
  1       1    8    0.680792  15547869 -9872        10584864  e2e3 
  1       1    9     5.27205  16287331 11916        85867579  e2e3 
  1       2    1 0.000115479    173191 24829              20  e2e3 
  1       2    2  0.00030578    981097 -21395             300  b1c3 
  1       2    3  0.00019226  11193175 26987            2152  f2f4 
  1       2    4  0.00110133  17921075 -19160           19737  e2e3 
  1       2    5  0.00378264  24125188 20599           91257  e2e3 
  1       2    6    0.015226  24046758 -10607          366135  e2e3 
  1       2    7    0.144074  31185449 13546         4493002  e2e3 
  1       2    8    0.571243  29245933 -9872        16706542  e2e3 
  1       2    9     3.40473  31891837 11916       108583095  e2e3 
  1       3    1 0.000207699    101107 24829              21  e2e3 
  1       3    2  0.00021227   1945635 -21395             413  b1c3 
  1       3    3 0.000195739  14585749 26987            2855  f2f4 
  1       3    4 0.000864349  28275615 -19160           24440  e2e3 
  1       3    5  0.00259034  38124368 20599           98755  e2e3 
  1       3    6   0.0101624  37448025 -10607          380562  e2e3 
  1       3    7    0.111155  42068251 13546         4676099  e2e3 
  1       3    8    0.233924  43081056 -9872        10077701  e2e3 
  1       3    9     2.13078  46951077 11916       100042296  e2e3 
  1       4    1  0.00042272     99356 24829              42  e2e3 
  1       4    2   6.524e-05   3019619 -21395             197  b1c3 
  1       4    3  0.00015556  18809462 26987            2926  f2f4 
  1       4    4 0.000760279  34194026 -19160           25997  e2e3 
  1       4    5  0.00221465  48276768 20599          106916  e2e3 
  1       4    6   0.0099513  49112990 -10607          488738  e2e3 
  1       4    7   0.0877883  57677181 13546         5063381  e2e3 
  1       4    8    0.278452  58126436 -9872        16185441  e2e3 
  1       4    9     1.92239  62925020 11916       120966383  e2e3 
  1       5    1   0.0004593     43544 24829              20  e2e3 
  1       5    2  0.00010932   3091840 -21395             338  b1c3 
  1       5    3 0.000153109  19985761 26987            3060  f2f4 
  1       5    4  0.00067341  41818505 -19160           28161  e2e3 
  1       5    5  0.00171868  61683492 20599          106014  e2e3 
  1       5    6  0.00723778  59198392 -10607          428465  e2e3 
  1       5    7   0.0777511  71442510 13546         5554736  e2e3 
  1       5    8     0.19401  71867663 -9872        13943060  e2e3 
  1       5    9     1.14815  80066811 11916        91929013  e2e3 
  1       6    1 0.000651699     32223 24829              21  e2e3 
  1       6    2  0.00012444   3077788 -21395             383  b1c3 
  1       6    3  0.00017797  21020396 26987            3741  f2f4 
  1       6    4 0.000608129  50226185 -19160           30544  e2e3 
  1       6    5  0.00157502  67131888 20599          105734  e2e3 
  1       6    6  0.00845211  73336953 -10607          619852  e2e3 
  1       6    7   0.0649779  85574341 13546         5560445  e2e3 
  1       6    8    0.163215  87196320 -9872        14231726  e2e3 
  1       6    9     1.66113  93683904 11916       155621442  e2e3 
  1       7    1  0.00048923     40880 24829              20  e2e3 
  1       7    2   0.0001509   2206759 -21395             333  b1c3 
  1       7    3  0.00017799  24433956 26987            4349  f2f4 
  1       7    4 0.000542839  49900615 -19160           27088  e2e3 
  1       7    5  0.00155489  77890447 20599          121111  e2e3 
  1       7    6  0.00575601  84341380 -10607          485470  e2e3 
  1       7    7   0.0716764  98080221 13546         7030042  e2e3 
  1       7    8     0.26187  97308948 -9872        25482271  e2e3 
  1       7    9      1.6226 108876415 11916       176663412  e2e3 
  1       8    1  0.00058934     35633 24829              21  e2e3 
  1       8    2   0.0001637   2125839 -21395             348  b1c3 
  1       8    3  0.00016547  21490300 26987            3556  f2f4 
  1       8    4 0.000550329  61704907 -19160           33958  e2e3 
  1       8    5  0.00136294  86609222 20599          118043  e2e3 
  1       8    6  0.00483527  95298632 -10607          460795  e2e3 
  1       8    7   0.0572914 114419452 13546         6555248  e2e3 
  1       8    8    0.167952 113369285 -9872        19040556  e2e3 
  1       8    9    0.657127 124757056 11916        81981185  e2e3 
  1       9    1  0.00024979     84070 24829              21  e2e3 
  1       9    2  0.00017406   2884062 -21395             502  b1c3 
  1       9    3 0.000199459  20971728 26987            4183  f2f4 
  1       9    4 0.000559269  59912135 -19160           33507  e2e3 
  1       9    5  0.00130995  94630401 20599          123961  e2e3 
  1       9    6  0.00432714 104599463 -10607          452616  e2e3 
  1       9    7   0.0541348 126598014 13546         6853362  e2e3 
  1       9    8    0.129618 128200874 -9872        16617079  e2e3 
  1       9    9    0.805088 135802480 11916       109332995  e2e3 
  1      10    1 0.000620499     32232 24829              20  e2e3 
  1      10    2 0.000185389   1175905 -21395             218  b1c3 
  1      10    3  0.00018604  23344442 26987            4343  f2f4 
  1      10    4 0.000519409  68158233 -19160           35402  e2e3 
  1      10    5   0.0012475 102263007 20599          127573  e2e3 
  1      10    6  0.00393655 118085483 -10607          464850  e2e3 
  1      10    7   0.0533721 140397192 13546         7493292  e2e3 
  1      10    8    0.138735 139462201 -9872        19348257  e2e3 
  1      10    9    0.551265 155121242 11916        85512929  e2e3 
  1      11    1 0.000575039     34780 24829              20  e2e3 
  1      11    2  0.00020362   1763088 -21395             359  b1c3 
  1      11    3  0.00019517  21622175 26987            4220  f2f4 
  1      11    4 0.000516569  68860113 -19160           35571  e2e3 
  1      11    5  0.00120184 108760082 20599          130712  e2e3 
  1      11    6  0.00569123 125187459 -10607          712471  e2e3 
  1      11    7   0.0442696 153468428 13546         6793985  e2e3 
  1      11    8    0.164066 156580400 -9872        25689591  e2e3 
  1      11    9    0.505352 169932930 11916        85875862  e2e3 
  1      12    1 0.000493099     40559 24829              20  e2e3 
  1      12    2  0.00025194    781932 -21395             197  b1c3 
  1      12    3 0.000221119  13449771 26987            2974  f2f4 
  1      12    4  0.00049501  69307690 -19160           34308  e2e3 
  1      12    5  0.00113314 116274349 20599          131755  e2e3 
  1      12    6  0.00519184 133766975 -10607          694497  e2e3 
  1      12    7   0.0463342 163382883 13546         7570209  e2e3 
  1      12    8    0.144859 162019649 -9872        23470077  e2e3 
  1      12    9     1.03382 180223813 11916       186319259  e2e3 
  1      13    1   0.0004278     93501 24829              40  e2e3 
  1      13    2  0.00024298   1391060 -21395             338  b1c3 
  1      13    3  0.00024935  19470623 26987            4855  f2f4 
  1      13    4 0.000509899  67838924 -19160           34591  e2e3 
  1      13    5  0.00123593 114356985 20599          141337  e2e3 
  1      13    6  0.00542701 138051447 -10607          749207  e2e3 
  1      13    7   0.0463411 168212810 13546         7795167  e2e3 
  1      13    8    0.170173 174016788 -9872        29612880  e2e3 
  1      13    9     1.77411 187125776 11916       331981466  e2e3 
  1      14    1  0.00053173     37613 24829              20  e2e3 
  1      14    2  0.00029521    691033 -21395             204  b1c3 
  1      14    3  0.00027265  13786906 26987            3759  f2f4 
