 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1   9.915e-05    201714 27599              20  a2a3 
  0       1    2     6.6e-05   2272727 -17044             150  e2e3 
  0       1    3  0.00048676   3260333 26889            1587  d2d3 
  0       1    4  0.00180192  10469960 -18132           18866  e2e4 
  0       1    5   0.0111348  12976760 21771          144494  e2e3 
  0       1    6   0.0258692  13686384 -9341          354056  e2e3 
  0       1    7     0.10197  15698604 19203         1600793  e2e3 
  0       1    8     1.36303  15549061 -8669        21193765  e2e3 
  0       1    9     5.48798  17184426 12807        94307824  e2e3 
  0       2    1  0.00010286    194439 27599              20  a2a3 
  0       2    2 0.000289689   1035593 -17044             300  e2e3 
  0       2    3  0.00018203  12371587 26889            2252  d2d3 
  0       2    4  0.00132138  18791731 -18132           24831  e2e4 
  0       2    5  0.00754658  24059905 21771          181570  e2e3 
  0       2    6   0.0216037  24591298 -9341          531262  e2e3 
  0       2    7   0.0778425  30395060 19203         2366028  e2e3 
  0       2    8     1.20366  29205377 -8669        35153228  e2e3 
  0       2    9     3.06739  32255956 12807        98941580  e2e3 
  0       3    1  0.00018082    110607 27599              20  a2a3 
  0       3    2  0.00012524   2227722 -17044             279  e2e3 
  0       3    3  0.00014484  16321458 26889            2364  d2d3 
  0       3    4  0.00109038  27553722 -18132           30044  e2e4 
  0       3    5  0.00598362  36723576 21771          219740  e2e3 
  0       3    6   0.0148845  36324403 -9341          540670  e2e3 
  0       3    7   0.0589454  45102720 19203         2658600  e2e3 
  0       3    8    0.794677  43155191 -8669        34294437  e2e3 
  0       3    9       2.976  46944001 12807       139705179  e2e3 
  0       4    1  0.00037825     55518 27599              21  a2a3 
  0       4    2  8.6669e-05   4211425 -17044             365  e2e3 
  0       4    3  0.00017943  20353341 26889            3652  d2d3 
  0       4    4 0.000947899  32965537 -18132           31248  e2e4 
  0       4    5  0.00531991  45249595 21771          240724  e2e3 
  0       4    6   0.0140405  46323271 -9341          650403  e2e3 
  0       4    7   0.0608757  58064406 19203         3534714  e2e3 
  0       4    8    0.731749  54939382 -8669        40201856  e2e3 
  0       4    9     2.81667  62643984 12807       176447134  e2e3 
  0       5    1   0.0003549     56353 27599              20  a2a3 
  0       5    2   9.411e-05   1593879 -17044             150  e2e3 
  0       5    3 0.000151579  21751034 26889            3297  d2d3 
  0       5    4  0.00103485  39007623 -18132           40367  e2e4 
