 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1    9.65e-05    207253 27599              20  a2a3 
  0       1    2  0.00032457    462149 -17044             150  e2e3 
  0       1    3   0.0002265   7006622 26889            1587  d2d3 
  0       1    4  0.00178177  10588359 -18132           18866  e2e4 
  0       1    5   0.0115102  12553565 21771          144494  e2e3 
  0       1    6   0.0284568  12441877 -9341          354056  e2e3 
  0       1    7    0.102363  15638457 19203         1600793  e2e3 
  0       1    8     1.45444  14571798 -8669        21193765  e2e3 
  0       1    9     5.86379  16083081 12807        94307824  e2e3 
  0       2    1  0.00022506     88865 27599              20  a2a3 
  0       2    2  0.00025263   1215215 -17044             307  e2e3 
  0       2    3  0.00016839  11841558 26889            1994  d2d3 
  0       2    4  0.00106659  18802931 -18132           20055  e2e4 
  0       2    5  0.00740655  24426615 21771          180917  e2e3 
  0       2    6   0.0188735  23381290 -9341          441287  e2e3 
  0       2    7   0.0653173  29533222 19203         1929030  e2e3 
  0       2    8     1.07335  27918875 -8669        29966819  e2e3 
  0       2    9     4.01249  31295371 12807       125572500  e2e3 
  0       3    1 0.000230679     86700 27599              20  a2a3 
  0       3    2  0.00037704   1029068 -17044             388  e2e3 
  0       3    3   0.0001475  16115254 26889            2377  d2d3 
  0       3    4 0.000787719  28778028 -18132           22669  e2e4 
  0       3    5  0.00476905  37557141 21771          179112  e2e3 
  0       3    6   0.0146649  35433369 -9341          519627  e2e3 
  0       3    7   0.0478821  44915898 19203         2150666  e2e3 
  0       3    8    0.649626  41624929 -8669        27040629  e2e3 
  0       3    9     2.87854  47392881 12807       136422455  e2e3 
  0       4    1  0.00022158     90260 27599              20  a2a3 
  0       4    2  0.00016627   2201238 -17044             366  e2e3 
  0       4    3  0.00017908  19661603 26889            3521  d2d3 
  0       4    4 0.000735099  37762260 -18132           27759  e2e4 
  0       4    5  0.00372207  49720518 21771          185063  e2e3 
  0       4    6   0.0130925  47866081 -9341          626686  e2e3 
  0       4    7   0.0357756  59262107 19203         2120138  e2e3 
  0       4    8    0.641262  55402371 -8669        35527422  e2e3 
  0       4    9     2.24944  62793783 12807       141250981  e2e3 
  0       5    1 0.000370389     53997 27599              20  a2a3 
  0       5    2  0.00011307   2069514 -17044             234  e2e3 
  0       5    3  0.00018574  20081834 26889            3730  d2d3 
  0       5    4 0.000651119  42801699 -18132           27869  e2e4 
  0       5    5  0.00341866  58470914 21771          199892  e2e3 
  0       5    6   0.0113212  59719557 -9341          676097  e2e3 
  0       5    7   0.0434411  72488329 19203         3148975  e2e3 
  0       5    8    0.449504  68885308 -8669        30964196  e2e3 
  0       5    9      1.7364  77086474 12807       133852638  e2e3 
  0       6    1  0.00047055     42503 27599              20  a2a3 
  0       6    2  0.00012295   1220008 -17044             150  e2e3 
  0       6    3  0.00017669  23385590 26889            4132  d2d3 
  0       6    4  0.00070213  43886459 -18132           30814  e2e4 
  0       6    5  0.00292708  71551243 21771          209436  e2e3 
  0       6    6  0.00833418  71584607 -9341          596599  e2e3 
  0       6    7   0.0297169  87539813 19203         2601416  e2e3 
  0       6    8    0.398538  83071690 -8669        33107266  e2e3 
  0       6    9     1.81396  91333363 12807       165674760  e2e3 
  0       7    1   0.0004791     41744 27599              20  a2a3 
  0       7    2  0.00013776   1880081 -17044             259  e2e3 
  0       7    3 0.000168959  17702519 26889            2991  d2d3 
  0       7    4  0.00061004  47982099 -18132           29271  e2e4 
  0       7    5  0.00287123  80702083 21771          231714  e2e3 
  0       7    6  0.00863615  82782383 -9341          714921  e2e3 
  0       7    7   0.0223421 103858615 19203         2320415  e2e3 
  0       7    8    0.366682  95746439 -8669        35108505  e2e3 
  0       7    9     1.30066 107407994 12807       139700949  e2e3 
  0       8    1 0.000686329     29140 27599              20  a2a3 
  0       8    2  0.00015405    973709 -17044             150  e2e3 
  0       8    3  0.00017845  20190529 26889            3603  d2d3 
  0       8    4  0.00053502  57095061 -18132           30547  e2e4 
  0       8    5  0.00256431  94124065 21771          241363  e2e3 
  0       8    6  0.00667732  92881084 -9341          620197  e2e3 
  0       8    7    0.024895 115844482 19203         2883944  e2e3 
  0       8    8    0.361653 108520893 -8669        39246898  e2e3 
  0       8    9     1.17188 122426354 12807       143468517  e2e3 
  0       9    1 0.000714089     28007 27599              20  a2a3 
  0       9    2  0.00018013   1110309 -17044             200  e2e3 
  0       9    3 0.000188869  20146238 26889            3805  d2d3 
  0       9    4  0.00059159  53996855 -18132           31944  e2e4 
  0       9    5  0.00243601  96612201 21771          235348  e2e3 
  0       9    6  0.00653719 105296586 -9341          688344  e2e3 
  0       9    7   0.0187778 130500058 19203         2450504  e2e3 
  0       9    8    0.410382 122878585 -8669        50427138  e2e3 
  0       9    9    0.963511 138422391 12807       133371431  e2e3 
  0      10    1 0.000563699     35479 27599              20  a2a3 
  0      10    2  0.00018383    826850 -17044             152  e2e3 
  0      10    3 0.000196049  19556335 26889            3834  d2d3 
  0      10    4  0.00056367  62286444 -18132           35109  e2e4 
  0      10    5  0.00224873 114577269 21771          257653  e2e3 
  0      10    6    0.006958 117161490 -9341          815210  e2e3 
  0      10    7   0.0200081 146480343 19203         2930790  e2e3 
  0      10    8     0.31903 135068390 -8669        43090894  e2e3 
  0      10    9    0.826325 151784501 12807       125423388  e2e3 
  0      11    1 0.000510409     39184 27599              20  a2a3 
  0      11    2  0.00020076   1175532 -17044             236  e2e3 
  0      11    3  0.00018999  20074740 26889            3814  d2d3 
  0      11    4 0.000581369  64914021 -18132           37739  e2e4 
  0      11    5  0.00230472 121429659 21771          279861  e2e3 
  0      11    6  0.00631301 126069259 -9341          795877  e2e3 
  0      11    7   0.0170081 159368830 19203         2710561  e2e3 
  0      11    8    0.331523 148554766 -8669        49249288  e2e3 
  0      11    9     1.25683 163516848 12807       205513301  e2e3 
  0      12    1 0.000566929     35277 27599              20  a2a3 
  0      12    2  0.00021738    823442 -17044             179  e2e3 
  0      12    3  0.00021393  15841630 26889            3389  d2d3 
  0      12    4  0.00051272  71575128 -18132           36698  e2e4 
  0      12    5  0.00223775 126181434 21771          282362  e2e3 
  0      12    6  0.00637938 135884144 -9341          866857  e2e3 
  0      12    7   0.0182089 168793202 19203         3073535  e2e3 
  0      12    8    0.284187 161923419 -8669        46016543  e2e3 
  0      12    9    0.760608 183880088 12807       139860673  e2e3 
  0      13    1 0.000494429     40450 27599              20  a2a3 
  0      13    2  0.00025703    782009 -17044             201  e2e3 
  0      13    3 0.000255649  13858845 26889            3543  d2d3 
  0      13    4  0.00054497  71046112 -18132           38718  e2e4 
  0      13    5  0.00205557 137549815 21771          282743  e2e3 
  0      13    6  0.00406847 139582618 -9341          567887  e2e3 
  0      13    7   0.0175397 175409456 19203         3076631  e2e3 
  0      13    8    0.233005 164380290 -8669        38301463  e2e3 
  0      13    9    0.776752 188998437 12807       146804863  e2e3 
  0      14    1 0.000452799     44169 27599              20  a2a3 
  0      14    2  0.00026918    676127 -17044             182  e2e3 
  0      14    3  0.00026566  15504780 26889            4119  d2d3 
  0      14    4 0.000567329  67715558 -18132           38417  e2e4 
