 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1   7.638e-05   1191411   -30              91  a1c1 
  0       1    2  0.00083539  13148349   -46           10984  a1c1 
  0       1    3  0.00112585  13194475   -29           14855  h1h2 
  0       1    4   0.0648849  19742960   -43         1281021  d1c2 
  0       1    5    0.151355  19167465   -30         2901094  d1c2 
  0       1    6     8.07195  20505217   -37       165517124  d1c2 
  0       1    7     39.7912  20442247   -14       813422593  g1h3 
  0       2    1  0.00038295    407363   -30             156  a1c1 
  0       2    2  0.00019417  11175773   -46            2170  a1c1 
  0       2    3  0.00101478  24680201   -29           25045  h1h2 
  0       2    4   0.0616208  39814854   -43         2453423  d1c2 
  0       2    5   0.0736314  37954407   -30         2794637  d1c2 
  0       2    6     4.62885  41120223   -37       190339398  d1c2 
  0       2    7     14.4122  41288722   -14       595062140  g1h3 
  0       3    1  0.00021496    441942   -30              95  a1c1 
  0       3    2    0.000209  15550239   -46            3250  a1c1 
  0       3    3 0.000764671  29221717   -29           22345  h1h2 
  0       3    4   0.0308391  57490678   -43         1772959  d1c2 
  0       3    5   0.0825455  58478067   -30         4827104  d1c2 
  0       3    6     4.99265  60521456   -37       302162688  d1c2 
  0       3    7     9.40895  59341697   -14       558342767  g1h3 
  0       4    1  0.00036986    294706   -30             109  a1c1 
  0       4    2  0.00019075  19627785   -46            3744  a1c1 
  0       4    3 0.000648011  39290999   -29           25461  h1h2 
  0       4    4   0.0272859  78374561   -43         2138517  d1c2 
  0       4    5   0.0259468  74691270   -30         1938002  d1c2 
  0       4    6     2.83749  80481934   -37       228366571  d1c2 
  0       4    7     5.19519  78519226   -14       407922584  g1h3 
  0       5    1  0.00030081    315813   -30              95  a1c1 
  0       5    2   0.0001858  24978471   -46            4641  a1c1 
  0       5    3  0.00044084  52626803   -29           23200  h1h2 
  0       5    4   0.0138949  95356295   -43         1324966  d1c2 
  0       5    5   0.0407956  94468169   -30         3853885  d1c2 
  0       5    6     1.32752  97791335   -37       129820284  d1c2 
  0       5    7     4.27078  99843097   -14       426408033  g1h3 
  0       6    1  0.00040965    222140   -30              91  a1c1 
  0       6    2  0.00026063  33012316   -46            8604  a1c1 
  0       6    3 0.000889021  69821747   -29           62073  h1h2 
  0       6    4   0.0241114 116499094   -43         2808960  d1c2 
  0       6    5   0.0406966 114575073   -30         4662814  d1c2 
  0       6    6     1.38594 120038209   -37       166365454  d1c2 
  0       6    7      7.1832 119535800   -14       858649295  g1h3 
  0       7    1 0.000419311    434045   -30             182  a1c1 
  0       7    2  0.00021512  20532725   -46            4417  a1c1 
  0       7    3   0.0004454  61425684   -29           27359  h1h2 
  0       7    4  0.00856433 128034941   -43         1096534  d1c2 
  0       7    5   0.0391668 132485618   -30         5189038  d1c2 
  0       7    6     1.41044 136995719   -37       193224138  d1c2 
  0       7    7     6.25623 136795349   -14       855823615  g1h3 
  0       8    1  0.00043546    208974   -30              91  a1c1 
  0       8    2  0.00023351  32418311   -46            7570  a1c1 
  0       8    3  0.00095037 104930711   -29           99723  h1h2 
  0       8    4  0.00979631 152355183   -43         1492518  d1c2 
  0       8    5   0.0605623 155154406   -30         9396508  d1c2 
  0       8    6     1.52531 155552839   -37       237266713  d1c2 
  0       8    7     5.93706 158801488   -14       942813315  g1h3 
  0       9    1  0.00047105    193185   -30              91  a1c1 
  0       9    2  0.00022111  29256930   -46            6469  a1c1 
  0       9    3  0.00048842  76176241   -29           37206  h1h2 
  0       9    4  0.00913872 171596713   -43         1568175  d1c2 
  0       9    5   0.0365754 171435007   -30         6270311  d1c2 
  0       9    6    0.944399 176517585   -37       166703089  d1c2 
  0       9    7     3.69416 177175888   -14       654515431  g1h3 
  0      10    1  0.00028948    328174   -30              95  a1c1 
  0      10    2  0.00021531  24713204   -46            5321  a1c1 
  0      10    3 0.000494041  86120382   -29           42547  h1h2 
  0      10    4  0.00873234 182783850   -43         1596130  d1c2 
  0      10    5    0.024365 187430181   -30         4566733  d1c2 
  0      10    6     1.11898 197308781   -37       220784615  d1c2 
  0      10    7     3.55002 198726749   -14       705484480  g1h3 
  0      11    1  0.00032779    277616   -30              91  a1c1 
  0      11    2  0.00028682  31891081   -46            9147  a1c1 
  0      11    3 0.000881571 130505654   -29          115050  h1h2 
  0      11    4   0.0134558 211187425   -43         2841689  d1c2 
  0      11    5   0.0174825 204066638   -30         3567605  d1c2 
  0      11    6     1.38688 213302205   -37       295825218  d1c2 
  0      11    7     2.60726 213518654   -14       556698860  g1h3 
  0      12    1 0.000699141    135881   -30              95  a1c1 
  0      12    2  0.00025685  26225423   -46            6736  a1c1 
  0      12    3  0.00089687 148736160   -29          133397  h1h2 
  0      12    4   0.0108933 227902244   -43         2482600  d1c2 
  0      12    5   0.0289559 224661921   -30         6505296  d1c2 
  0      12    6      1.1745 233726345   -37       274512610  d1c2 
  0      12    7     4.58746 229504136   -14      1052842039  g1h3 
  0      13    1  0.00073675    128944   -30              95  a1c1 
  0      13    2  0.00025157  20976269   -46            5277  a1c1 
  0      13    3 0.000991711 149293493   -29          148056  h1h2 
  0      13    4    0.013376 225314907   -43         3013814  d1c2 
  0      13    5    0.018541 208205427   -30         3860341  d1c2 
  0      13    6     1.41018 237084034   -37       334331698  d1c2 
  0      13    7     4.31043 237579927   -14      1024071205  g1h3 
  0      14    1  0.00047736    268141   -30             128  a1c1 
  0      14    2 0.000276341  15828270   -46            4374  a1c1 
  0      14    3   0.0005472 107852704   -29           59017  h1h2 
  0      14    4   0.0146524 240354128   -43         3521767  d1c2 
  0      14    5   0.0379329 234734605   -30         8904169  d1c2 
  0      14    6     1.12214 239582068   -37       268843554  d1c2 
  0      14    7      3.8685 240190091   -14       929175781  g1h3 
  0      15    1  0.00062915    173249   -30             109  a1c1 
  0      15    2  0.00032143  17562144   -46            5645  a1c1 
  0      15    3 0.000531421 102018926   -29           54215  h1h2 
  0      15    4   0.0143175 241142773   -43         3452573  d1c2 
  0      15    5   0.0178623 230805702   -30         4122723  d1c2 
  0      15    6    0.858428 245568504   -37       210802845  d1c2 
  0      15    7     47.6072 256728571   -14     12222123290  g1h3 
  0      16    1  0.00057308    190200   -30             109  a1c1 
  0      16    2  0.00037659  14442762   -46            5439  a1c1 
  0      16    3 0.000454281  82523812   -29           37489  h1h2 
  0      16    4   0.0129225 230415221   -43         2977549  d1c2 
  0      16    5   0.0239552 234859914   -30         5626112  d1c2 
  0      16    6    0.672258 246340938   -37       165604777  d1c2 
  0      16    7     4.68487 248126923   -14      1162442773  g1h3 
  0      17    1 0.000527111    206787   -30             109  a1c1 
  0      17    2  0.00030731  16201880   -46            4979  a1c1 
  0      17    3  0.00051471 103881797   -29           53469  h1h2 
  0      17    4   0.0079661 244228420   -43         1945549  d1c2 
  0      17    5   0.0271245 244861345   -30         6641733  d1c2 
  0      17    6      1.0303 249911660   -37       257484228  d1c2 
  0      17    7      5.9645 249875650   -14      1490383433  g1h3 
  0      18    1  0.00048658    187019   -30              91  a1c1 
  0      18    2 0.000377941  11247787   -46            4251  a1c1 
  0      18    3  0.00050995  94750465   -29           48318  h1h2 
  0      18    4  0.00646866 235939173   -43         1526211  d1c2 
  0      18    5   0.0264453 242278663   -30         6407138  d1c2 
  0      18    6    0.925423 253342048   -37       234448632  d1c2 
  0      18    7      12.861 262132662   -14      3371275928  g1h3 
  0      19    1 0.000561001    162210   -30              91  a1c1 
  0      19    2  0.00040882  15422435   -46            6305  a1c1 
  0      19    3  0.00055444  91905345   -29           50956  h1h2 
  0      19    4  0.00910292 251686271   -43         2291081  d1c2 
  0      19    5   0.0358398 251998149   -30         9031558  d1c2 
  0      19    6     1.00013 255746358   -37       255780017  d1c2 
  0      19    7     3.44507 254311291   -14       876119534  g1h3 
  0      20    1  0.00061532    147890   -30              91  a1c1 
  0      20    2  0.00040122  11818952   -46            4742  a1c1 
  0      20    3  0.00110424 167109505   -29          184529  h1h2 
  0      20    4   0.0224022 255511092   -43         5724006  d1c2 
  0      20    5   0.0329209 253819196   -30         8355948  d1c2 
  0      20    6     1.42843 258287084   -37       368945992  d1c2 
  0      20    7     3.27655 257447228   -14       843538475  g1h3 
  0      21    1 0.000530981    241063   -30             128  a1c1 
  0      21    2  0.00042353  11833872   -46            5012  a1c1 
  0      21    3  0.00058177 103594203   -29           60268  h1h2 
  0      21    4   0.0178642 261758167   -43         4676100  d1c2 
  0      21    5   0.0201165 253328520   -30         5096088  d1c2 
  0      21    6    0.936113 262238930   -37       245485307  d1c2 
  0      21    7     11.2153 265746635   -14      2980420682  g1h3 
  0      22    1   0.0005618    169099   -30              95  a1c1 
  0      22    2  0.00044325  10267343   -46            4551  a1c1 
  0      22    3  0.00060937  95368987   -29           58115  h1h2 
  0      22    4  0.00815875 263496975   -43         2149807  d1c2 
  0      22    5   0.0251465 267652416   -30         6730514  d1c2 
  0      22    6    0.932498 264476681   -37       246623983  d1c2 
  0      22    7     14.3578 274046827   -14      3934714772  g1h3 
  0      23    1 0.000738131    162572   -30             120  a1c1 
  0      23    2  0.00046191  14507155   -46            6701  a1c1 
  0      23    3  0.00104269 169918988   -29          177173  h1h2 
  0      23    4    0.012885 268621392   -43         3461199  d1c2 
  0      23    5   0.0555921 270020125   -30        15010988  d1c2 
  0      23    6     1.33294 268307535   -37       357637004  d1c2 
  0      23    7     8.10398 270010474   -14      2188160143  g1h3 
  0      24    1 0.000602601    157649   -30              95  a1c1 
  0      24    2  0.00046007  11250461   -46            5176  a1c1 
  0      24    3  0.00077449 136323257   -29          105581  h1h2 
  0      24    4   0.0139069 271964686   -43         3782174  d1c2 
  0      24    5   0.0233766 266419712   -30         6227974  d1c2 
  0      24    6     1.46842 271324689   -37       398417904  d1c2 
  0      24    7     12.1385 274896032   -14      3336815002  g1h3 
  1       1    1  9.8341e-05   2033739   -30             200  a1c1 
  1       1    2  0.00125669   9355521   -46           11757  a1c1 
  1       1    3  0.00157894  13976465   -29           22068  g1h3 
  1       1    4    0.112129  19807708   -43         2221026  d1c2 
  1       1    5     0.13859  18823854   -30         2608797  d1c2 
  1       1    6     15.1153  20675198   -37       312512609  d1c2 
  1       1    7     25.0955  20616639   -14       517385018  g1h3 
  1       2    1  0.00013104   2335164   -30             306  a1c1 
  1       2    2  0.00052644   9313502   -46            4903  a1c1 
  1       2    3  0.00087741  25914908   -29           22738  g1h3 
  1       2    4   0.0369706  37908378   -43         1401495  d1c2 
  1       2    5   0.0579957  38475123   -30         2231392  d1c2 
  1       2    6     8.37855  40725695   -37       341222209  d1c2 
  1       2    7     9.21571  40416570   -14       372467487  g1h3 
  1       3    1  0.00026906   1360291   -30             366  a1c1 
  1       3    2  0.00031454  13158898   -46            4139  a1c1 
  1       3    3  0.00104608  38683465   -29           40466  g1h3 
  1       3    4   0.0351908  59931782   -43         2109046  d1c2 
  1       3    5   0.0440148  57249514   -30         2519826  d1c2 
  1       3    6     3.19352  60482283   -37       193151416  d1c2 
  1       3    7     14.8655  61871505   -14       919752591  g1h3 
  1       4    1  0.00071861    514882   -30             370  a1c1 
  1       4    2 0.000324241  27541242   -46            8930  a1c1 
  1       4    3  0.00147504  53990363   -29           79638  g1h3 
  1       4    4   0.0590136  80922857   -43         4775549  d1c2 
  1       4    5   0.0732256  78261994   -30         5730781  d1c2 
  1       4    6     4.03551  80851325   -37       326276629  d1c2 
  1       4    7     8.43818  79273318   -14       668922837  g1h3 
  1       5    1  0.00055701    673237   -30             375  a1c1 
  1       5    2  0.00023007  26209414   -46            6030  a1c1 
