 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1  0.00011161    815339   -30              91  a1c1 
  0       1    2  0.00109753  10007917   -46           10984  a1c1 
  0       1    3 0.000931171  15953031   -29           14855  h1h2 
  0       1    4   0.0611854  20936724   -43         1281021  d1c2 
  0       1    5    0.141977  20433522   -30         2901094  d1c2 
  0       1    6     7.99182  20710805   -37       165517124  d1c2 
  0       1    7     39.4575  20615181   -14       813422593  g1h3 
  0       2    1  0.00013191    689864   -30              91  a1c1 
  0       2    2  0.00102815  19436852   -46           19984  a1c1 
  0       2    3  0.00115827  26137233   -29           30274  h1h2 
  0       2    4   0.0482132  39412033   -43         1900181  d1c2 
  0       2    5   0.0741985  38483768   -30         2855437  d1c2 
  0       2    6     4.76489  41742625   -37       198898911  d1c2 
  0       2    7     12.0326  41530649   -14       499720725  g1h3 
  0       3    1   0.0002513    569040   -30             143  a1c1 
  0       3    2    0.001042  34202462   -46           35639  a1c1 
  0       3    3  0.00097059  43516829   -29           42237  h1h2 
  0       3    4   0.0278791  59012832   -43         1645223  d1c2 
  0       3    5   0.0398817  58253132   -30         2323234  d1c2 
  0       3    6     3.61345  60772554   -37       219598328  d1c2 
  0       3    7     13.8132  62081568   -14       857547260  g1h3 
  0       4    1 0.000530811    171435   -30              91  a1c1 
  0       4    2  0.00023132  21675600   -46            5014  a1c1 
  0       4    3  0.00045805  38452134   -29           17613  h1h2 
  0       4    4   0.0169353  77749654   -43         1316710  d1c2 
  0       4    5   0.0261281  75772367   -30         1979788  d1c2 
  0       4    6     1.97708  79564017   -37       157304052  d1c2 
  0       4    7     6.41017  81381086   -14       521666284  g1h3 
  0       5    1  0.00061005    232767   -30             142  a1c1 
  0       5    2  0.00024019  31416795   -46            7546  a1c1 
  0       5    3 0.000851231  68587727   -29           58384  h1h2 
  0       5    4    0.019042  97861183   -43         1863475  d1c2 
  0       5    5   0.0284606  94883692   -30         2700447  d1c2 
  0       5    6     2.66717 102390538   -37       273093392  d1c2 
  0       5    7     6.41125 101624554   -14       651540254  g1h3 
  0       6    1 0.000584521    155683   -30              91  a1c1 
  0       6    2  0.00024773  26754934   -46            6628  a1c1 
  0       6    3  0.00088234  78349615   -29           69131  h1h2 
  0       6    4   0.0190783 114326342   -43         2181147  d1c2 
  0       6    5    0.112831 125455244   -30        14155283  d1c2 
  0       6    6       2.596 119422158   -37       310020188  d1c2 
  0       6    7     11.8854 119760693   -14      1423407269  g1h3 
  0       7    1  0.00055437    164150   -30              91  a1c1 
  0       7    2  0.00022399  26085985   -46            5843  a1c1 
  0       7    3 0.000947401  88097859   -29           83464  h1h2 
  0       7    4   0.0222491 135728843   -43         3019840  d1c2 
  0       7    5   0.0377757 136011171   -30         5137913  d1c2 
  0       7    6     1.91929 141304541   -37       271204364  d1c2 
  0       7    7     5.52591 142620217   -14       788106921  g1h3 
  0       8    1  0.00050713    244513   -30             124  a1c1 
  0       8    2  0.00021421  24849446   -46            5323  a1c1 
  0       8    3 0.000550891  82994639   -29           45721  h1h2 
  0       8    4   0.0138869 154296289   -43         2142699  d1c2 
  0       8    5   0.0355793 152778754   -30         5435759  d1c2 
  0       8    6      1.0953 160945487   -37       176282867  d1c2 
  0       8    7     11.0273 165443313   -14      1824398556  g1h3 
  0       9    1  0.00050859    261507   -30             133  a1c1 
  0       9    2 0.000221811  25039335   -46            5554  a1c1 
  0       9    3  0.00105548 106350665   -29          112251  h1h2 
  0       9    4   0.0230956 178479473   -43         4122090  d1c2 
  0       9    5   0.0231721 171123452   -30         3965293  d1c2 
  0       9    6     1.28469 182371717   -37       234290896  d1c2 
  0       9    7     9.45256 182926401   -14      1729122609  g1h3 
  0      10    1  0.00056961    166780   -30              95  a1c1 
  0      10    2  0.00021988  22726032   -46            4997  a1c1 
  0      10    3  0.00094571 117847966   -29          111450  h1h2 
  0      10    4   0.0130957 185195261   -43         2425269  d1c2 
  0      10    5    0.021624 188595399   -30         4078179  d1c2 
  0      10    6     1.52381 199144732   -37       303458604  d1c2 
  0      10    7     4.14968 200473629   -14       831900786  g1h3 
  0      11    1 0.000518051    220055   -30             114  a1c1 
  0      11    2  0.00022406  22462733   -46            5033  a1c1 
  0      11    3 0.000600241  98645377   -29           59211  h1h2 
  0      11    4   0.0147235 210309776   -43         3096496  d1c2 
  0      11    5   0.0217592 206862590   -30         4501174  d1c2 
  0      11    6    0.899341 216161734   -37       194403197  d1c2 
  0      11    7     4.64548 217890776   -14      1012207465  g1h3 
  0      12    1  0.00063496    274033   -30             174  a1c1 
  0      12    2  0.00025154  22235032   -46            5593  a1c1 
  0      12    3 0.000493331 103749815   -29           51183  h1h2 
  0      12    4   0.0125717 227345462   -43         2858121  d1c2 
  0      12    5    0.055229 227662168   -30        12573543  d1c2 
  0      12    6     1.18012 236073761   -37       278595995  d1c2 
  0      12    7     4.53495 235071868   -14      1066038738  g1h3 
  0      13    1 0.000503681    180669   -30              91  a1c1 
  0      13    2  0.00027635  11963090   -46            3306  a1c1 
  0      13    3 0.000461611  96678805   -29           44628  h1h2 
  0      13    4  0.00571383 221540212   -43         1265844  d1c2 
  0      13    5    0.044905 230980449   -30        10372187  d1c2 
  0      13    6     1.28684 238191179   -37       306515062  d1c2 
  0      13    7     5.77897 238012572   -14      1375467051  g1h3 
  0      14    1  0.00049842    182576   -30              91  a1c1 
  0      14    2 0.000289901  14784357   -46            4286  a1c1 
  0      14    3  0.00051141  90156625   -29           46107  h1h2 
  0      14    4   0.0190382 241615704   -43         4599917  d1c2 
  0      14    5   0.0354385 235985659   -30         8362970  d1c2 
  0      14    6     1.17071 239056919   -37       279867249  d1c2 
  0      14    7     3.08001 243724214   -14       750671993  g1h3 
  0      15    1 0.000537811    265892   -30             143  a1c1 
  0      15    2  0.00030086  15498903   -46            4663  a1c1 
  0      15    3 0.000917181 150937492   -29          138437  h1h2 
  0      15    4   0.0141906 241963716   -43         3433620  d1c2 
  0      15    5   0.0236729 236240633   -30         5592512  d1c2 
  0      15    6     1.61898 247105389   -37       400058858  d1c2 
  0      15    7     6.65728 244038348   -14      1624631792  g1h3 
  0      16    1 0.000504661    188245   -30              95  a1c1 
  0      16    2  0.00034623  22066256   -46            7640  a1c1 
  0      16    3 0.000918371 152821680   -29          140347  h1h2 
  0      16    4   0.0155717 245831851   -43         3828025  d1c2 
  0      16    5   0.0272483 242243233   -30         6600726  d1c2 
  0      16    6     1.73828 249317549   -37       433383571  d1c2 
  0      16    7     7.01499 249584486   -14      1750833592  g1h3 
  0      17    1  0.00054874    258774   -30             142  a1c1 
  0      17    2  0.00037703  13083839   -46            4933  a1c1 
  0      17    3 0.000885451 161115634   -29          142660  h1h2 
  0      17    4   0.0196501 253921335   -43         4989571  d1c2 
  0      17    5   0.0322041 246953919   -30         7952927  d1c2 
  0      17    6     1.22806 251910481   -37       309360424  d1c2 
  0      17    7     7.73046 264419478   -14      2044083430  g1h3 
  0      18    1  0.00047713    347913   -30             166  a1c1 
  0      18    2 0.000403501  20096604   -46            8109  a1c1 
  0      18    3  0.00050947  95454099   -29           48631  h1h2 
  0      18    4   0.0162844 256292263   -43         4173556  d1c2 
  0      18    5   0.0284272 251032944   -30         7136169  d1c2 
  0      18    6    0.993585 254039669   -37       252410056  d1c2 
  0      18    7     6.89273 255338926   -14      1759982864  g1h3 
  0      19    1 0.000540771    236699   -30             128  a1c1 
  0      19    2  0.00042444  11146451   -46            4731  a1c1 
  0      19    3 0.000996081 163956545   -29          163314  h1h2 
  0      19    4    0.026032 259784137   -43         6762703  d1c2 
  0      19    5   0.0478308 252792535   -30        12091273  d1c2 
  0      19    6     1.22185 256419988   -37       313306832  d1c2 
  0      19    7     9.83884 257132164   -14      2529882259  g1h3 
  0      20    1  0.00050406    301551   -30             152  a1c1 
  0      20    2 0.000404881  13529901   -46            5478  a1c1 
  0      20    3   0.0005557  99321576   -29           55193  h1h2 
