 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1  0.00011905    151196   183              18  b4f4 
  0       1    2  0.00023942    534625   125             128  b4f4 
  0       1    3   8.392e-05   2955195   192             248  b4f4 
  0       1    4 0.000298651   3167576   132             946  b4f4 
  0       1    5  0.00055816   7730758   139            4315  b4f4 
  0       1    6  0.00193996   7853762   117           15236  b4f4 
  0       1    7  0.00668642  13189860   108           88193  b4f4 
  0       1    8   0.0728915  11308821    86          824317  b4f4 
  0       1    9    0.122341  13228639    95         1618403  b4f4 
  0       1   10    0.635084  10689664    73         6788840  b4f4 
  0       1   11     1.04605  13145235    94        13750548  b4f4 
  0       1   12     14.1873  10711985    68       151973895  b4f4 
  0       2    1  0.00010745    167519   183              18  b4f4 
  0       2    2  0.00030655    231609   125              71  b4f4 
  0       2    3  5.3521e-05   4671063   192             250  b4f4 
  0       2    4  0.00020498   5376134   132            1102  b4f4 
  0       2    5  0.00034067  15084979   139            5139  b4f4 
  0       2    6  0.00170128  10664317   117           18143  b4f4 
  0       2    7  0.00509077  20738897   108          105577  b4f4 
  0       2    8   0.0215604  15244554    86          328678  b4f4 
  0       2    9    0.222158  21323852    95         4737254  b4f4 
  0       2   10    0.333429  17815066    73         5940068  b4f4 
  0       2   11    0.704657  21722467    94        15306899  b4f4 
  0       2   12     4.35406  17084590    68        74387411  b4f4 
  0       3    1  0.00021329    168784   183              36  b4f4 
  0       3    2   9.145e-05   2077638   125             190  b4f4 
  0       3    3  0.00010498   4658030   192             489  b4f4 
  0       3    4  0.00021521   5956972   132            1282  b4f4 
  0       3    5  0.00035903  18661393   139            6700  b4f4 
  0       3    6   0.0012683  14303386   117           18141  b4f4 
  0       3    7  0.00433636  29625517   108          128467  b4f4 
  0       3    8   0.0405271  27712758    86         1123117  b4f4 
  0       3    9    0.133232  31592662    95         4209152  b4f4 
  0       3   10    0.335535  25506261    73         8558249  b4f4 
  0       3   11    0.609137  31380714    94        19115161  b4f4 
  0       3   12     2.92986  24037769    68        70427337  b4f4 
  0       4    1  0.00046606     57932   183              27  b4f4 
  0       4    2   7.645e-05   2092871   125             160  b4f4 
  0       4    3   7.702e-05   7491560   192             577  b4f4 
  0       4    4 0.000202181   6879973   132            1391  b4f4 
  0       4    5  0.00028948  24837639   139            7190  b4f4 
  0       4    6  0.00110973  17778198   117           19729  b4f4 
  0       4    7  0.00340798  34977894   108          119204  b4f4 
  0       4    8   0.0342359  33716818    86         1154324  b4f4 
  0       4    9   0.0490719  38801347    95         1904057  b4f4 
  0       4   10    0.245926  32540522    73         8002561  b4f4 
  0       4   11    0.503987  39484378    94        19899617  b4f4 
  0       4   12     2.67432  31502605    68        84248042  b4f4 
  0       5    1  0.00045293     46364   183              21  b4f4 
  0       5    2  0.00011638   3239388   125             377  b4f4 
  0       5    3    9.02e-05   6042128   192             545  b4f4 
  0       5    4 0.000218521   9179895   132            2006  b4f4 
  0       5    5  0.00032215  26785658   139            8629  b4f4 
  0       5    6  0.00105505  20449248   117           21575  b4f4 
  0       5    7  0.00418599  44703610   108          187129  b4f4 
  0       5    8   0.0470325  39944831    86         1878704  b4f4 
  0       5    9   0.0458438  46592312    95         2135969  b4f4 
  0       5   10    0.210509  37140831    73         7818491  b4f4 
  0       5   11    0.288003  47137402    94        13575711  b4f4 
  0       5   12     2.73216  36893037    68       100797623  b4f4 
  0       6    1  0.00049378     36453   183              18  b4f4 
  0       6    2  0.00011049   1764865   125             195  b4f4 
  0       6    3  0.00010576   4614220   192             488  b4f4 
  0       6    4 0.000195411   7558428   132            1477  b4f4 
  0       6    5  0.00029478  28170160   139            8304  b4f4 
  0       6    6  0.00102689  19730429   117           20261  b4f4 
  0       6    7   0.0034465  45829655   108          157952  b4f4 
  0       6    8   0.0412545  47451519    86         1957588  b4f4 
  0       6    9   0.0448832  52761764    95         2368115  b4f4 
  0       6   10    0.246903  43558244    73        10754641  b4f4 
  0       6   11    0.369402  51813525    94        19140011  b4f4 
  0       6   12     4.75453  44282862    68       210544296  b4f4 
  0       7    1 0.000502781     41767   183              21  b4f4 
  0       7    2  0.00013302   1172755   125             156  b4f4 
  0       7    3  0.00010347   6001739   192             621  b4f4 
  0       7    4  0.00023261   8959202   132            2084  b4f4 
  0       7    5    0.000367  24591280   139            9025  b4f4 
  0       7    6  0.00100307  22820916   117           22891  b4f4 
  0       7    7  0.00293068  51151233   108          149908  b4f4 
  0       7    8   0.0349122  52283127    86         1825319  b4f4 
  0       7    9   0.0616846  60285125    95         3718666  b4f4 
