 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1 0.000347501     57553    36              20  g1f3 
  0       1    2   6.778e-05    973738     0              66  g1f3 
  0       1    3  0.00014869   3665344    35             545  g1f3 
  0       1    4  0.00039111   5328424     0            2084  g1f3 
  0       1    5  0.00116738  11873597    33           13861  g1f3 
  0       1    6    0.008483   9438758     0           80069  g1f3 
  0       1    7   0.0356604  15151138    28          540295  g1f3 
  0       1    8      1.2837  16200333     7        20796389  e2e4 
  0       1    9     1.54071  17298845    36        26652524  e2e4 
  0       1   10     32.8888  17212711     6       566104663  e2e4 
  0       2    1   9.901e-05    212099    36              21  g1f3 
  0       2    2   6.841e-05   1768747     0             121  g1f3 
  0       2    3   8.208e-05  10099902    35             829  g1f3 
  0       2    4  0.00035153   6830142     0            2401  g1f3 
  0       2    5  0.00084791  20184925    33           17115  g1f3 
  0       2    6  0.00604514  17100513     0          103375  g1f3 
  0       2    7   0.0204342  27567352    28          563318  g1f3 
  0       2    8    0.774506  31010072     7        24017498  e2e4 
  0       2    9     1.40789  33424216    36        47057499  e2e4 
  0       2   10     15.3203  34299586     6       525480999  e2e4 
  0       3    1  0.00010531    208907    36              22  g1f3 
  0       3    2   6.504e-05   1014760     0              66  g1f3 
  0       3    3 0.000127651   6071241    35             775  g1f3 
  0       3    4  0.00035112  10101959     0            3547  g1f3 
  0       3    5  0.00079412  30217095    33           23996  g1f3 
  0       3    6  0.00400337  27225305     0          108993  g1f3 
  0       3    7   0.0184529  41972514    28          774516  g1f3 
  0       3    8    0.536624  44784597     7        24032499  e2e4 
  0       3    9     1.17873  51506840    36        60712576  e2e4 
  0       3   10     16.2235  51676356     6       838370408  e2e4 
  0       4    1  0.00010461    325016    36              34  g1f3 
  0       4    2   6.178e-05   1068306     0              66  g1f3 
  0       4    3   9.108e-05  10891523    35             992  g1f3 
  0       4    4  0.00024524  11494862     0            2819  g1f3 
  0       4    5  0.00056889  36038601    33           20502  g1f3 
  0       4    6  0.00346377  31907998     0          110522  g1f3 
  0       4    7   0.0156273  53294318    28          832847  g1f3 
  0       4    8     0.57106  61559634     7        35154240  e2e4 
  0       4    9     1.38635  66242019    36        91834760  e2e4 
  0       4   10       14.09  68325802     6       962710072  e2e4 
  0       5    1  0.00015481    135650    36              21  g1f3 
  0       5    2   9.344e-05    706335     0              66  g1f3 
  0       5    3   9.977e-05  13080084    35            1305  g1f3 
  0       5    4  0.00024236  14119491     0            3422  g1f3 
  0       5    5  0.00056755  39970046    33           22685  g1f3 
  0       5    6  0.00293427  39245536     0          115157  g1f3 
  0       5    7   0.0152563  66937994    28         1021229  g1f3 
  0       5    8    0.439492  74727431     7        32842114  e2e4 
  0       5    9    0.804193  83750100    36        67351214  e2e4 
  0       5   10     8.72819  85649967     6       747568763  e2e4 
  0       6    1  0.00018861    106038    36              20  g1f3 
  0       6    2  0.00012191    541382     0              66  g1f3 
  0       6    3 0.000110041   8542270    35             940  g1f3 
  0       6    4  0.00026121  12644998     0            3303  g1f3 
  0       6    5  0.00055758  39961978    33           22282  g1f3 
  0       6    6  0.00253736  43520841     0          110428  g1f3 
  0       6    7   0.0125787  73374719    28          922961  g1f3 
  0       6    8    0.363499  89205847     7        32426224  e2e4 
  0       6    9    0.440852  96639112    36        42603594  e2e4 
  0       6   10     8.11615  98877885     6       802507950  e2e4 
  0       7    1  0.00020928     95565    36              20  g1f3 
  0       7    2  0.00013157    592840     0              78  g1f3 
  0       7    3  0.00012739   6546824    35             834  g1f3 
  0       7    4 0.000239061  12298116     0            2940  g1f3 
  0       7    5   0.0005103  48075641    33           24533  g1f3 
  0       7    6  0.00241638  48191095     0          116448  g1f3 
  0       7    7   0.0130481  87135918    28         1136954  g1f3 
  0       7    8    0.302716 103289222     7        31267348  e2e4 
  0       7    9    0.554445 114986694    36        63753795  e2e4 
  0       7   10     9.08229 119806244     6      1088115522  e2e4 
  0       8    1  0.00021776     91844    36              20  g1f3 
  0       8    2  0.00013974    472305     0              66  g1f3 
  0       8    3  0.00012577   9883119    35            1243  g1f3 
  0       8    4 0.000264631  18104454     0            4791  g1f3 
  0       8    5  0.00050611  51455217    33           26042  g1f3 
  0       8    6  0.00234293  56733259     0          132922  g1f3 
  0       8    7   0.0113581 101669793    28         1154777  g1f3 
  0       8    8    0.300113 119188655     7        35770009  e2e4 
  0       8    9    0.675723 132359936    36        89438650  e2e4 
  0       8   10     6.77115 136281356     6       922781690  e2e4 
  0       9    1  0.00022181     94675    36              21  g1f3 
  0       9    2  0.00015981    463049     0              74  g1f3 
  0       9    3  0.00015121   9926592    35            1501  g1f3 
  0       9    4  0.00025842  14716353     0            3803  g1f3 
  0       9    5 0.000487481  55138559    33           26879  g1f3 
  0       9    6  0.00201946  58537925     0          118215  g1f3 
  0       9    7   0.0129928 106918035    28         1389167  g1f3 
  0       9    8    0.254947 130559344     7        33285689  e2e4 
  0       9    9    0.609818 143127848    36        87281986  e2e4 
  0       9   10     6.70544 146613098     6       983105654  e2e4 
  0      10    1  0.00026439     79428    36              21  g1f3 
  0      10    2  0.00017664    577445     0             102  g1f3 
  0      10    3  0.00017462   7931508    35            1385  g1f3 
  0      10    4  0.00028586  15577555     0            4453  g1f3 
  0      10    5  0.00055139  58022452    33           31993  g1f3 
  0      10    6  0.00287077  73233339     0          210236  g1f3 
  0      10    7  0.00847433 114273654    28          968393  g1f3 
  0      10    8     0.23654 146274922     7        34599841  e2e4 
  0      10    9    0.671358 160091409    36       107478657  e2e4 
  0      10   10     13.7564 176991927     6      2434775112  e2e4 
  0      11    1  0.00025753     81543    36              21  g1f3 
  0      11    2  0.00019208    421699     0              81  g1f3 
  0      11    3  0.00018129   9410337    35            1706  g1f3 
  0      11    4   0.0002669  18070438     0            4823  g1f3 
  0      11    5  0.00050119  56232167    33           28183  g1f3 
  0      11    6  0.00179624  67336732     0          120953  g1f3 
  0      11    7  0.00959986 127925783    28         1228070  g1f3 
  0      11    8    0.228626 158554702     7        36249789  e2e4 
  0      11    9    0.564061 175792517    36        99157743  e2e4 
  0      11   10     6.92836 185708055     6      1286652660  e2e4 
  0      12    1 0.000275321     72642    36              20  g1f3 
  0      12    2  0.00021231    310866     0              66  g1f3 
  0      12    3  0.00020809   6583689    35            1370  g1f3 
  0      12    4  0.00028054  17605332     0            4939  g1f3 
  0      12    5  0.00053888  61046986    33           32897  g1f3 
  0      12    6  0.00174295  73853524     0          128723  g1f3 
  0      12    7  0.00855187 140946716    28         1205358  g1f3 
  0      12    8    0.208414 172557530     7        35963427  e2e4 
  0      12    9    0.530013 191239245    36       101359227  e2e4 
  0      12   10     5.27748 202877701     6      1070682056  e2e4 
  0      13    1  0.00029521     67748    36              20  g1f3 
  0      13    2  0.00024665    267585     0              66  g1f3 
  0      13    3    0.000239   6288702    35            1503  g1f3 
  0      13    4  0.00027162  13890729     0            3773  g1f3 
  0      13    5  0.00051882  57231795    33           29693  g1f3 
  0      13    6  0.00184178  77156295     0          142105  g1f3 
  0      13    7  0.00922954 139119594    28         1284010  g1f3 
  0      13    8    0.212744 175473477     7        37330885  e2e4 
  0      13    9    0.413562 195864122    36        81001925  e2e4 
  0      13   10     5.77593 206262634     6      1191358223  e2e4 
  0      14    1  0.00034827     57426    36              20  g1f3 
  0      14    2  0.00025928    254551     0              66  g1f3 
  0      14    3  0.00025253   6949669    35            1755  g1f3 
  0      14    4  0.00027694  15938470     0            4414  g1f3 
  0      14    5  0.00059953  61721681    33           37004  g1f3 
  0      14    6  0.00215649  85507892     0          184397  g1f3 
  0      14    7   0.0104308 142282141    28         1484114  g1f3 
  0      14    8    0.216456 183124462     7        39638390  e2e4 
  0      14    9    0.419606 201798963    36        84676024  e2e4 
  0      14   10     5.75155 208604481     6      1199798491  e2e4 
  0      15    1  0.00032553     61438    36              20  g1f3 
  0      15    2  0.00027817    237264     0              66  g1f3 
  0      15    3  0.00026651   5797155    35            1545  g1f3 
  0      15    4  0.00030983  12503631     0            3874  g1f3 
  0      15    5  0.00051788  57801034    33           29934  g1f3 
