 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1  8.3291e-05    240121    36              20  g1f3 
  0       1    2   7.513e-05    878477     0              66  g1f3 
  0       1    3   8.524e-05   6393711    35             545  g1f3 
  0       1    4 0.000376232   5541793     0            2085  g1f3 
  0       1    5  0.00113569  12198697    33           13854  g1f3 
  0       1    6  0.00876659   9098639     0           79764  g1f3 
  0       1    7   0.0327922  15384279    28          504484  g1f3 
  0       1    8     1.34739  14810721     8        19955841  e2e4 
  0       1    9     2.02285  16938403    36        34263842  e2e4 
  0       1   10     26.7763  18129858     9       485450564  e2e4 
  0       2    1 0.000119481    167390    36              20  g1f3 
  0       2    2  8.5161e-05    775002     0              66  g1f3 
  0       2    3  0.00011594   8323270    35             965  g1f3 
  0       2    4 0.000264951   8243033     0            2184  g1f3 
  0       2    5 0.000662774  21740442    33           14409  g1f3 
  0       2    6   0.0045716  17710203     0           80964  g1f3 
  0       2    7   0.0216018  28385888    28          613185  g1f3 
  0       2    8    0.712782  29549361     8        21062266  e2e4 
  0       2    9     1.23566  33106018    36        40907937  e2e4 
  0       2   10     13.2211  34206311     9       452246319  e2e4 
  0       3    1 0.000310061     64503    36              20  g1f3 
  0       3    2    8.64e-05   1458333     0             126  g1f3 
  0       3    3   9.842e-05  10881934    35            1071  g1f3 
  0       3    4 0.000227291  10625145     0            2415  g1f3 
  0       3    5 0.000555363  25266357    33           14032  g1f3 
  0       3    6  0.00288417  25315393     0           73014  g1f3 
  0       3    7   0.0123023  42858880    28          527261  g1f3 
  0       3    8    0.471985  45504655     8        21477523  e2e4 
  0       3    9    0.447836  49833408    36        22317216  e2e4 
  0       3   10     10.1759  52027830     9       529431560  e2e4 
  0       4    1 0.000133401    157420    36              21  g1f3 
  0       4    2  9.1341e-05    722567     0              66  g1f3 
  0       4    3  9.5641e-05   9838876    35             941  g1f3 
  0       4    4 0.000202101  12859906     0            2599  g1f3 
  0       4    5 0.000437252  32420663    33           14176  g1f3 
  0       4    6  0.00236168  33923717     0           80117  g1f3 
  0       4    7  0.00991834  56665861    28          562031  g1f3 
  0       4    8    0.412327  59464029     8        24518611  e2e4 
  0       4    9    0.451931  66482855    36        30045678  e2e4 
  0       4   10     11.6454  68127042     9       793363575  e2e4 
  0       5    1 0.000147421    135665    36              20  g1f3 
  0       5    2 0.000120881    545991     0              66  g1f3 
  0       5    3 0.000115951  12203430    35            1415  g1f3 
  0       5    4 0.000199051  14056699     0            2798  g1f3 
  0       5    5 0.000390902  37265094    33           14567  g1f3 
  0       5    6  0.00191484  41539806     0           79542  g1f3 
  0       5    7  0.00765552  70414905    28          539063  g1f3 
  0       5    8    0.370863  75191173     8        27885649  e2e4 
  0       5    9    0.456031  82101847    36        37440992  e2e4 
  0       5   10     5.33569  83371628     9       444845384  e2e4 
  0       6    1 0.000176521    113300    36              20  g1f3 
  0       6    2 0.000118981    554710     0              66  g1f3 
  0       6    3 0.000116161  10958927    35            1273  g1f3 
  0       6    4 0.000169941  14581531     0            2478  g1f3 
  0       6    5 0.000368582  40908128    33           15078  g1f3 
  0       6    6  0.00172352  49190115     0           84780  g1f3 
  0       6    7  0.00684569  81220434    28          556010  g1f3 
  0       6    8    0.314343  87560636     8        27524088  e2e4 
  0       6    9    0.449407  98443226    36        44241079  e2e4 
  0       6   10     5.51054  97723577     9       538510050  e2e4 
  0       7    1 0.000199891    100054    36              20  g1f3 
  0       7    2  0.00014523    454451     0              66  g1f3 
  0       7    3  0.00014785   5911396    35             874  g1f3 
  0       7    4 0.000186651  17685412     0            3301  g1f3 
  0       7    5 0.000322651  49288550    33           15903  g1f3 
  0       7    6  0.00156488  56207612     0           87958  g1f3 
  0       7    7  0.00791305  93184261    28          737372  g1f3 
  0       7    8    0.286303 105067411     8        30081136  e2e4 
  0       7    9    0.616751 119608393    36        73768570  e2e4 
  0       7   10     7.23652 117996803     9       853886701  e2e4 
  0       8    1 0.000236221     84666    36              20  g1f3 
  0       8    2 0.000159751    413142     0              66  g1f3 
  0       8    3 0.000173791   5765545    35            1002  g1f3 
  0       8    4 0.000203051  17714761     0            3597  g1f3 
  0       8    5 0.000345981  46768464    33           16181  g1f3 
  0       8    6  0.00157136  63515801     0           99806  g1f3 
  0       8    7  0.00614941 106391884    28          654247  g1f3 
  0       8    8     0.23383 116284197     8        27190703  e2e4 
  0       8    9     0.55779 130087168    36        72561286  e2e4 
  0       8   10     4.78602 134162144     9       642102122  e2e4 
  0       9    1 0.000259571     77050    36              20  g1f3 
  0       9    2 0.000210881    312972     0              66  g1f3 
  0       9    3 0.000211111   5466318    35            1154  g1f3 
  0       9    4 0.000188051  12071193     0            2270  g1f3 
  0       9    5 0.000310682  48628501    33           15108  g1f3 
  0       9    6  0.00118168  64830008     0           76608  g1f3 
  0       9    7  0.00593503 120217165    28          713492  g1f3 
  0       9    8    0.211137 131632053     8        27792445  e2e4 
  0       9    9    0.192414 144660808    36        27834735  e2e4 
  0       9   10     4.00821 145810876     9       584440996  e2e4 
  0      10    1 0.000274461     76513    36              21  g1f3 
  0      10    2 0.000221111    298492     0              66  g1f3 
  0      10    3 0.000189431   5928279    35            1123  g1f3 
  0      10    4 0.000176241  15405041     0            2715  g1f3 
  0      10    5 0.000318381  50932687    33           16216  g1f3 
  0      10    6  0.00118166  74829160     0           88423  g1f3 
  0      10    7   0.0053749 131354556    28          706018  g1f3 
  0      10    8    0.255306 144909507     8        36996211  e2e4 
