 it num_thr  ply        time       nps  eval           nodes  move 
  0       1    1   3.799e-05    526454    36              20  g1f3 
  0       1    2   3.838e-05   1719645     0              66  g1f3 
  0       1    3   7.047e-05   7733787    35             545  g1f3 
  0       1    4  0.00035095   5941017     0            2085  g1f3 
  0       1    5  0.00115087  12037849    33           13854  g1f3 
  0       1    6  0.00838236   9515691     0           79764  g1f3 
  0       1    7   0.0325028  15521255    28          504484  g1f3 
  0       1    8     1.27455  15657221     8        19955841  e2e4 
  0       1    9     1.94068  17665611    36        34283334  e2e4 
  0       1   10     24.0442  17868856     9       429642022  e2e4 
  0       2    1  0.00010665    196905    36              21  g1f3 
  0       2    2   0.0001757    375640     0              66  g1f3 
  0       2    3  0.00012918   5844557    35             755  g1f3 
  0       2    4  0.00026271   8126831     0            2135  g1f3 
  0       2    5  0.00063017  21962327    33           13840  g1f3 
  0       2    6  0.00433327  18316870     0           79372  g1f3 
  0       2    7    0.019402  28882276    28          560373  g1f3 
  0       2    8    0.729333  30006113     8        21884447  e2e4 
  0       2    9     0.76416  33937988    36        25934064  e2e4 
  0       2   10     17.8534  35387225     9       631780602  e2e4 
  0       3    1  0.00012009    166541    36              20  g1f3 
  0       3    2   6.371e-05   1035944     0              66  g1f3 
  0       3    3  0.00010703  10782023    35            1154  g1f3 
  0       3    4  0.00020366  12609250     0            2568  g1f3 
  0       3    5  0.00054568  26627327    33           14530  g1f3 
  0       3    6  0.00297735  27411951     0           81615  g1f3 
  0       3    7   0.0130069  43308772    28          563314  g1f3 
  0       3    8    0.521307  44602591     8        23251627  e2e4 
  0       3    9    0.680131  48879932    36        33244739  e2e4 
  0       3   10      13.911  51183221     9       712010375  e2e4 
  0       4    1   0.0001256    302547    36              38  g1f3 
  0       4    2   8.236e-05    801359     0              66  g1f3 
  0       4    3   9.915e-05   9349470    35             927  g1f3 
  0       4    4 0.000181061  13586581     0            2460  g1f3 
  0       4    5  0.00040664  36526165    33           14853  g1f3 
  0       4    6  0.00222955  35269433     0           78635  g1f3 
  0       4    7  0.00966487  57189364    28          552728  g1f3 
  0       4    8    0.502262  61463455     8        30870743  e2e4 
  0       4    9    0.347756  64681427    36        22493351  e2e4 
  0       4   10     9.04102  69126217     9       624971400  e2e4 
  0       5    1 0.000179319    223066    36              40  g1f3 
  0       5    2 0.000105279    626905     0              66  g1f3 
  0       5    3  0.00011457  10281923    35            1178  g1f3 
  0       5    4  0.00017729  15505668     0            2749  g1f3 
  0       5    5 0.000323678  46422679    33           15026  g1f3 
  0       5    6  0.00192369  40983649     0           78840  g1f3 
  0       5    7  0.00807641  67665435    28          546494  g1f3 
  0       5    8    0.417778  75131109     8        31388119  e2e4 
  0       5    9    0.765361  81359366    36        62269297  e2e4 
  0       5   10      5.0851  80551591     9       409612733  e2e4 
  0       6    1 0.000177959    112385    36              20  g1f3 
  0       6    2  0.00011946    552486     0              66  g1f3 
  0       6    3  0.00012161  10237644    35            1245  g1f3 
